unix,low,high,open,close,volume,date,vol_fiat
1610064000,26.27,28.8,28.3556,26.563,85997.853,2021-01-08,2284360.9692389998
1609977600,27.6418,30.5,28.7276,28.3845,111954.411,2021-01-07,3177769.9790295
1609891200,27.8054,31.3884,28.6083,28.7615,107317.862,2021-01-06,3086622.687913
1609804800,26.7908,31.46,27.9883,28.4734,186429.565,2021-01-05,5308283.576071001
1609718400,22.027,28.71,24.1001,27.9791,161642.101,2021-01-04,4522600.5080891
1609632000,22.5442,24.9,22.6838,24.0846,86246.242,2021-01-03,2077206.2400731998
1609545600,22.2586,23.2003,22.9601,22.7186,49872.369,2021-01-02,1133030.4023634
1609459200,22.2396,23.705,22.3408,22.9184,37293.14,2021-01-01,854699.0997759999
1609372800,22.1,23.705,23.0474,22.35,46683.055,2020-12-31,1043366.27925
1609286400,22.9463,23.705,23.505,23.041,44379.741,2020-12-30,1022553.6123810001
1609200000,22.66,24.3559,23.8699,23.546,27373.763,2020-12-29,644542.6235979999
1609113600,23.3295,26.9,23.4125,23.9016,68531.466,2020-12-28,1638011.6877456
1609027200,22.1806,24.25,23.5657,23.479,58033.715,2020-12-27,1362573.5944849998
1608940800,22.5001,25.3107,24.06,23.5662,49297.401,2020-12-26,1161752.4114462
1608854400,23.1011,25.0133,23.8793,24.0802,31114.221,2020-12-25,749236.6645242
1608768000,21.52,25.0,22.0994,23.833,80863.223,2020-12-24,1927213.193759
1608681600,22.0601,26.4,25.2169,22.1581,82533.719,2020-12-23,1828790.3989739001
1608595200,24.9593,26.8249,25.5206,25.2495,46941.353,2020-12-22,1185245.6925735
1608508800,25.327,27.8303,27.0205,25.4965,61503.117,2020-12-21,1568114.2225905
1608422400,25.8892,29.3072,29.3072,27.0219,103262.925,2020-12-20,2790360.4330575
1608336000,26.6083,31.052,27.0784,29.279,121284.748,2020-12-19,3551096.136692
1608249600,26.3584,28.4288,27.27,27.0479,61338.421,2020-12-18,1659075.4773659
1608163200,26.5001,28.7,27.0326,27.2928,71563.516,2020-12-17,1953168.7294848
1608076800,26.3049,27.8801,27.1388,27.0326,66864.809,2020-12-16,1807529.6357733998
1607990400,26.8801,28.815,28.6,27.1221,77119.915,2020-12-15,2091654.0466214998
1607904000,27.3192,30.9998,29.1173,28.6036,107119.386,2020-12-14,3064000.0693896
1607817600,26.4,33.9,26.471,29.1173,159093.147,2020-12-13,4632362.8891431
1607731200,26.0624,28.0,26.2154,26.4727,36155.546,2020-12-12,957134.9225942
1607644800,25.2165,30.0,26.8893,26.3075,101841.427,2020-12-11,2679193.3408025
1607558400,26.3467,28.9899,28.5143,26.8893,38732.974,2020-12-10,1041502.5577782
1607472000,27.0366,29.5268,28.4719,28.5058,45897.499,2020-12-09,1308344.9269942
1607385600,28.0,31.8,30.3638,28.428,49722.19,2020-12-08,1413502.41732
1607299200,30.2541,32.0,31.189,30.3601,27178.366,2020-12-07,825137.9095966
1607212800,30.6692,34.5253,31.3181,31.1871,82678.36,2020-12-06,2578498.281156
1607126400,28.6472,35.6,29.9989,31.3595,120273.72,2020-12-05,3771723.7223400003
1607040000,27.3654,31.9352,31.3032,30.0511,70875.864,2020-12-04,2129897.6766504003
1606953600,31.0839,34.91,31.7255,31.2761,55481.496,2020-12-03,1735244.8170456
1606867200,31.0,32.4244,31.315,31.6757,39771.832,2020-12-02,1259800.6188824
1606780800,31.1134,34.74,33.5543,31.274,58308.379,2020-12-01,1823536.244846
1606694400,33.2,36.8686,35.5,33.5734,73019.867,2020-11-30,2451525.2027378
1606608000,33.6,39.8642,38.2778,35.5596,167763.345,2020-11-29,5965597.442862
